,國文,英文,數學,社會,自然
0,8,13,13,6,11
1,10,7,9,15,6
2,14,13,6,12,14
3,9,12,8,6,8
4,10,12,11,13,11
5,9,14,15,13,7
6,13,15,9,13,9
7,11,9,10,10,13
8,8,10,13,7,11
9,12,12,11,8,11
10,13,9,7,6,11
11,15,7,12,9,14
12,8,14,10,11,15
13,6,9,14,10,14
14,10,8,10,9,13
15,12,6,7,12,6
16,15,9,13,6,11
17,11,11,9,7,7
18,7,15,10,10,11
19,10,9,14,8,10
20,13,14,6,12,12
21,11,9,14,12,9
22,14,14,12,12,6
23,7,14,15,12,7
24,6,11,13,11,10
25,8,11,7,14,9
26,10,6,9,10,8
27,10,9,13,11,10
28,8,14,7,13,9
29,11,15,13,9,8
30,13,6,7,11,14
31,8,9,7,11,8
32,13,10,10,8,9
33,13,6,15,13,10
34,10,14,11,6,6
35,9,6,10,10,13
36,7,11,11,12,10
37,14,11,13,14,10
38,10,9,13,8,7
39,9,10,15,14,9
40,10,13,14,11,12
41,7,9,10,6,12
42,9,14,7,8,14
43,15,7,15,15,10
44,11,7,7,6,14
45,14,12,13,10,7
46,9,10,13,11,9
47,13,15,9,8,15
48,14,15,12,15,10
49,6,7,6,7,9
50,8,8,7,7,14
51,9,15,9,11,10
52,10,13,6,7,12
53,9,8,8,9,12
54,8,8,9,7,7
55,6,7,6,8,13
56,8,13,15,8,15
57,7,11,12,7,9
58,10,10,14,13,8
59,8,11,10,12,6
60,15,10,9,7,13
61,10,11,6,11,9
62,12,9,15,9,15
63,9,15,11,8,8
64,7,12,10,10,15
65,14,10,9,8,14
66,9,12,11,15,14
67,14,11,8,7,9
68,10,11,9,9,9
69,14,6,8,13,10
70,9,12,9,11,8
71,6,6,11,15,9
72,6,14,13,13,9
73,11,13,12,11,10
74,7,13,10,15,8
75,12,13,6,10,14
76,12,7,12,9,15
77,13,7,8,13,12
78,6,9,14,11,15
79,7,7,6,12,11
80,14,7,10,8,15
81,8,14,9,13,13
82,12,6,8,7,14
83,8,7,13,15,12
84,10,11,13,15,6
85,14,8,14,10,15
86,14,14,11,15,7
87,14,11,9,11,14
88,14,10,14,6,6
89,12,12,13,9,12
90,15,7,7,8,11
91,7,10,13,12,10
92,7,11,8,8,7
93,6,6,14,11,9
94,8,14,12,14,12
95,15,11,13,13,13
96,10,15,12,9,15
97,7,8,8,14,10
98,11,11,9,9,9
99,10,10,6,14,7
